Azienda in cui i politici hanno investito;Numero politici che hanno investito
oliaro casa di spedizioni srl;1
campus bio medico;1
interiblea sas;1
total;2
sapori di pane sas;2
titon srl;1
sifid srl;1
oleandro 2000 srl ;2
mediaset spa;1
gian società semplice;1
fincoe srl ;1
ri.co. sas di zanoni magda;1
intesa s.p.;1
consultivest global;1
bcc valmarecchia;1
furlo srl;2
csx corp (usa);1
artemis srl ;1
i.f.i.t. srl;1
unipol spa;1
cnp communications srl;1
fineco bank;1
navigator srl;1
sant'antonio srl;1
cartolibreria pedagogica ;1
servizi im.pre.sa srl;1
società italiana inv. srl;1
borromini srl;1
ubi ced certa 13/17-r;2
sudfondi srl;1
dresser-rand group inc. (drc us);1
emil banca scarl;1
la nuova commerciale spa;1
coop acli san marco scave? (grafia poco leggibile);1
telecom media rag;1
sestant spa;1
banca romagna centro credito coop;1
banca romagna centro credito cooperativo;1
basf ag;1
alice records srl;1
ag il saracino snc;1
cosmor srl;1
tecnosole srl;1
amgen inc $ (amgn us);1
ubipram euro bt p;2
immobiliare a.m.f. snc;1
diagorin;2
s.gobain;2
ardima srl;1
elle srl;1
casati mario srl;1
deutsche telekom reg. (dte gr);1
bonaparte seconda srl;1
exprivia spa;1
microsoft corp.$ (msft us);1
evi;1
grim sas di di candia;1
gc&c srl unipersonale;1
unipol;2
